#,SVM,SVM,Natural Validation,ServRep Validation,,metatag,Client Script,DIT / Dialog Act,Organic Study Pose
77,positive,0.16,neutral,neutral/positive,,Info,I will show you some videos of what good observational feedback looks like.,,
79,positive,0.14,neutral,neutral/positive,,Info,This article should help.,,
80,positive,0.13,neutral,neutral/positive,,Info,A goal is something that you want to do.,,
85,neutral,0.08,neutral,neutral/positive,,Info,to Mount Wellington.,,
89,neutral,0.05,neutral,neutral/positive,,Info,Here are a few ways I can help you.,,
92,neutral,0.02,neutral,neutral/positive,,Info,like Jeff.,,
93,neutral,0.02,neutral,neutral/positive,,Info,The higher your credit score the lower thee interest rate on your car.,,
98,neutral,0.01,neutral,neutral/positive,,Info,This hospital is massive.,,
99,neutral,0.01,neutral,neutral/positive,,Info,The NDIS focuses mostly on supporting participants.,,
104,neutral,0,neutral,neutral/positive,,Info,you have more important things to think about.,,
105,neutral,0,neutral,neutral/positive,,Info,you don't work at the moment.,,
107,neutral,0,neutral,neutral/positive,,Info,you can expect the payment to post in TWENTY FOUR to FORTY EIGHT business hours.,,
110,neutral,0,neutral,neutral/positive,,Info,with a clear route to improve your situation.,,
111,neutral,0,neutral,neutral/positive,,Info,which will be ready for pickup in TWO minutes FORTY FIVE seconds.,,
112,neutral,0,neutral,neutral/positive,,Info,whenever I mention a quote I always put the person who originally said the sentence.,,
113,neutral,0,neutral,neutral/positive,,Info,when we work with you to make your plan.,,
117,neutral,0,neutral,neutral/positive,,Info,there may be ways we can help.,,
118,neutral,0,neutral,neutral/positive,,Info,then someone will put an application to your state or territory's tribunal.,,
120,neutral,0,neutral,neutral/positive,,Info,that will tell you more.,,
121,neutral,0,neutral,neutral/positive,,Info,so you can talk to people in your community about their supports and experiences.,,
122,neutral,0,neutral,neutral/positive,,Info,so the recipient gets the whole amount.,,
123,neutral,0,neutral,neutral/positive,,Info,so I've provided some options for you below to consider.,,
124,neutral,0,neutral,neutral/positive,,Info,so I can learn how to help.,,
131,neutral,0,neutral,neutral/positive,,Info,or you could be charged extra fees.,,
134,neutral,0,neutral,neutral/positive,,Info,or the overdrawn balance.,,
137,neutral,0,neutral,neutral/positive,,Info,or even longer if Inland Revenue approve.,,
138,neutral,0,neutral,neutral/positive,,Info,or even just help get you to where you need to be.,,
140,neutral,0,neutral,neutral/positive,,Info,or by utilising insurance or Kiwisaver.,,
152,neutral,0,neutral,neutral/positive,,Info,it's a superb example of Mercedes engineers breaking the basic rules of physics.,,
153,neutral,0,neutral,neutral/positive,,Info,it's a crushingly capable all rounder.,,
154,neutral,0,neutral,neutral/positive,,Info,it'll take about TWENTY FOUR hours for the request to be completed.,,
156,neutral,0,neutral,neutral/positive,,Info,it could be that you've entered the activation code incorrectly THREE times.,,
161,neutral,0,neutral,neutral/positive,,Info,each of us must do it for himself Josiah Royce.,,
164,neutral,0,neutral,neutral/positive,,Info,depending on their policies.,,
170,neutral,0,neutral,neutral/positive,,Info,but we may think it's not reasonable or necessary for you to get more funding.,,
171,neutral,0,neutral,neutral/positive,,Info,but anything you have regarding your current finances will be helpful.,,
173,neutral,0,neutral,neutral/positive,,Info,as first envisioned by William Gibson in Neuromancer.,,
175,neutral,0,neutral,neutral/positive,,Info,and we'll give you an indicative amount in New Zealand dollars.,,
176,neutral,0,neutral,neutral/positive,,Info,and room service.,,
177,neutral,0,neutral,neutral/positive,,Info,and reduce the chance of miscommunication.,,
178,neutral,0,neutral,neutral/positive,,Info,and on the top left of the map if you're on a mobile device.,,
179,neutral,0,neutral,neutral/positive,,Info,and have purchased your account on this basis.,,
180,neutral,0,neutral,neutral/positive,,Info,and a bit of c.,,
184,neutral,0,neutral,neutral/positive,,Info,You will see announcements towards the end of two thousand and sixteen.,,
186,neutral,0,neutral,neutral/positive,,Info,You have an account with Lion Finance.,,
187,neutral,0,neutral,neutral/positive,,Info,You can talk to an advocate about what your rights are.,,
188,neutral,0,neutral,neutral/positive,,Info,You can request to change your credit card limit online.,,
189,neutral,0,neutral,neutral/positive,,Info,You can read more about what you need to do if you self manage.,,
190,neutral,0,neutral,neutral/positive,,Info,You can only try THREE times to reset your password.,,
191,neutral,0,neutral,neutral/positive,,Info,You can find there number and websites in the chatbox.,,
225,neutral,0,neutral,neutral/positive,,Info,We're also talking to communities about what they need and what we can give.,,
226,neutral,0,neutral,neutral/positive,,Info,We'll chat about the options available to help you.,,
230,neutral,0,neutral,neutral/positive,,Info,US dollars.,,
234,neutral,0,neutral,neutral/positive,,Info,To get an overdraft on your account you need to be eighteen or older.,,
235,neutral,0,neutral,neutral/positive,,Info,Time to get you best hotel anywhere.,,
236,neutral,0,neutral,neutral/positive,,Info,This is to the right of the search box on a desktop computer.,,
237,neutral,0,neutral,neutral/positive,,Info,This is because different people have different needs and goals.,,
238,neutral,0,neutral,neutral/positive,,Info,This is actually more of an activation issue.,,
239,neutral,0,neutral,neutral/positive,,Info,These programs are designed to help children with autism build their independence.,,
240,neutral,0,neutral,neutral/positive,,Info,There are soft drinks in the fridge as well.,,
241,neutral,0,neutral,neutral/positive,,Info,There are also DIY solutions for getting your finances in order.,,
242,neutral,0,neutral,neutral/positive,,Info,There are a few different ways to contact us.,,
243,neutral,0,neutral,neutral/positive,,Info,The toilets are located out the main doors in the corridor.,,
244,neutral,0,neutral,neutral/positive,,Info,The only topic we haven't covered yet is what I do.,,
245,neutral,0,neutral,neutral/positive,,Info,The NDIS uses the laws of the state or territory you live in as a way to protect you.,,
246,neutral,0,neutral,neutral/positive,,Info,The ICU is located on the second floor.,,
248,neutral,0,neutral,neutral/positive,,Info,Subscribers network license students or educators and maintenance plans.,,
249,neutral,0,neutral,neutral/positive,,Info,Sometimes the issue is the way the password is entered in the field.,,
260,neutral,0,neutral,neutral/positive,,Info,Our overdraft application fee is twenty five dollars.,,
262,neutral,0,neutral,neutral/positive,,Info,Or what the NDIS will mean for your supports and services.,,
264,neutral,0,neutral,neutral/positive,,Info,On the next few pages I am going to show you some of the different ways I can look.,,
268,neutral,0,neutral,neutral/positive,,Info,Not that I'm going to lift up and bring you a hotel.,,
269,neutral,0,neutral,neutral/positive,,Info,NDIS.,,
271,neutral,0,neutral,neutral/positive,,Info,Looks like your payment amount exceeded the available funds in your account.,,
280,neutral,0,neutral,neutral/positive,,Info,Kash works here at Lion Finance too.,,
283,neutral,0,neutral,neutral/positive,,Info,It should take no more than TWENTY minutes to receive your form.,,
284,neutral,0,neutral,neutral/positive,,Info,It looks like you are on a subscription plan.,,
287,neutral,0,neutral,neutral/positive,,Info,Initialising now.,,
295,neutral,0,neutral,neutral/positive,,Info,IBANs always begin with the country code of the recipient's bank account.,,
296,neutral,0,neutral,neutral/positive,,Info,I've brought up a list of subjects I can talk to you about below.,,
300,neutral,0,neutral,neutral/positive,,Info,I'll be here to book your taxi for you after your appointment.,,
302,neutral,0,neutral,neutral/positive,,Info,I will try and pass you to someone to get them to look into it straight away.,,
303,neutral,0,neutral,neutral/positive,,Info,I will consult with my human colleagues and get back to you with the answer.,,
304,neutral,0,neutral,neutral/positive,,Info,I will ask you a quick question.,,
305,neutral,0,neutral,neutral/positive,,Info,I want to make sure I'm hearing you correctly.,,
308,neutral,0,neutral,neutral/positive,,Info,I sometimes find it hard to understand jokes.,,
309,neutral,0,neutral,neutral/positive,,Info,I hear relationships can be very supportive.,,
310,neutral,0,neutral,neutral/positive,,Info,I got the following answers.,,
327,neutral,0,neutral,neutral/positive,,Info,Here's how to register.,,
328,neutral,0,neutral,neutral/positive,,Info,Here is some information about Serial Numbers.,,
329,neutral,0,neutral,neutral/positive,,Info,Here are the steps to set or change a PIN using goMoney.,,
330,neutral,0,neutral,neutral/positive,,Info,Here are the steps again.,,
331,neutral,0,neutral,neutral/positive,,Info,Here are the different teams to which I can route your issue.,,
350,neutral,0,neutral,neutral/positive,,Info,Determined to lead gives us a set of leadership tools and language we all share.,,
351,neutral,0,neutral,neutral/positive,,Info,Currently I can help users learn the four step process of observational feedback.,,
352,neutral,0,neutral,neutral/positive,,Info,Credit score is strong although he usually pays cash.,,
354,neutral,0,neutral,neutral/positive,,Info,Changing the setting requires OnlineCode to verify.,,
361,neutral,0,neutral,neutral/positive,,Info,But I understand it can be tough.,,
362,neutral,0,neutral,neutral/positive,,Info,But I know how annoying this is when it happens on a trip.,,
363,neutral,0,neutral,neutral/positive,,Info,But I can answer banking questions.,,
370,neutral,0,neutral,neutral/positive,,Info,Appointing a timekeeper and scribe helps the mop stay on track and stick to time.,,
372,neutral,0,neutral,neutral/positive,,Info,An even number squared is divisible by four.,,
374,neutral,0,neutral,neutral/positive,,Info,Also the product needs to connect to the Internet every thirty days.,,
377,neutral,0,neutral,neutral/positive,,Info,About TEN meters on your left will be the restroom.,,
378,neutral,0,neutral,neutral/positive,,Info,A quick tip is that your name is at the top of the screen when you login.,,
379,neutral,0,neutral,neutral/positive,,Info,A local area coordinator can help you with the NDIS application process.,,
382,neutral,-0.09,neutral,neutral/positive,,Info,while receiving a personalized service.,,
383,neutral,-0.09,neutral,neutral/positive,,Info,This catches a lot of people out.,,
385,neutral,-0.08,neutral,neutral/positive,,Info,A common mistake is to think that top performers do not need to be coached.,,
387,neutral,-0.07,neutral,neutral/positive,,Info,or maintaining your independence.,,
388,neutral,-0.07,neutral,neutral/positive,,Info,and you're between seven and twelve.,,
389,neutral,-0.06,neutral,neutral/positive,,Info,Looks like you're getting an error while downloading.,,
391,neutral,-0.05,neutral,neutral/positive,,Info,We've only covered credit cards.,,
392,neutral,-0.05,neutral,neutral/positive,,Info,In my opinion.,,
397,neutral,-0.04,neutral,neutral/positive,,Info,I want to be totally sure about this.,,
399,neutral,-0.03,neutral,neutral/positive,,Info,this solution is only works for standalone licenses.,,
401,neutral,-0.02,neutral,neutral/positive,,Info,to Mount Albert.,,
402,neutral,-0.02,neutral,neutral/positive,,Info,I wouldn't have asked if it wasn't important.,,
403,neutral,-0.01,neutral,neutral/positive,,Info,and it's designed to protect you.,,
419,negative,-0.63,neutral,neutral/positive,,Info,expenses and why you're applying.,,
420,negative,-0.63,neutral,neutral/positive,,Info,I think you would benefit from speaking to the people at Citizens Advice.,,
426,negative,-0.58,neutral,neutral/positive,,Info,I think you would benefit from speaking to Citizens Advice.,,
432,negative,-0.53,neutral,neutral/positive,,Info,I should probably leave you all to your workshop.,,
433,negative,-0.52,negative,neutral/positive,,Info,You have lost your job.,,
435,negative,-0.51,neutral,neutral/positive,,Info,or none of them.,,
446,negative,-0.4,neutral,neutral/positive,,Info,little counterintuitive but it ends up working out.,,
448,negative,-0.38,neutral,neutral/positive,,Info,but will not have access to products and benefits until they are given access.,,
449,negative,-0.37,neutral,neutral/positive,,Info,part of the meeting and support the facilitator focus on running the mop.,,
450,negative,-0.35,negative,neutral/positive,,Info,your checkin has been cancelled.,,
452,negative,-0.35,neutral,neutral/positive,,Info,This means a hold is on the money.,,
453,negative,-0.34,neutral,neutral/positive,,Info,as it gives you a sense of understanding.,,
454,negative,-0.34,neutral,neutral/positive,,Info,an Application Error occurs.,,
458,negative,-0.32,negative,neutral/positive,,Info,because of illness.,,
459,negative,-0.31,negative,neutral/positive,,Info,your transaction has been declined.,,
460,negative,-0.31,neutral,neutral/positive,,Info,Most payments between ANZ accounts happen immediately.,,
462,negative,-0.31,neutral,neutral/positive,,Info,By carrying a balance or paying it off every month.,,
463,negative,-0.29,neutral,neutral/positive,,Info,Meanwhile paper releases will take SEVEN to TEN days to be mailed out to you.,,
466,negative,-0.27,negative,neutral/positive,,Info,This issue is typically related to problems within the Autodesk Account.,,
467,negative,-0.26,neutral,neutral/positive,,Info,I've emailed you a copy of our conversation.,,
469,negative,-0.25,negative,neutral/positive,,Info,That's a difficult one.,,
475,negative,-0.22,neutral,neutral/positive,,Info,On this screen.,,
477,negative,-0.21,neutral,neutral/positive,,Info,I'd rather work here.,,
478,negative,-0.19,neutral,neutral/positive,,Info,we'll call you once it rolls out in your area.,,
479,negative,-0.19,neutral,neutral/positive,,Info,to Airport Oaks.,,
480,negative,-0.19,neutral,neutral/positive,,Info,help is based on your needs.,,
482,negative,-0.17,neutral,neutral/positive,,Info,the wee ones.,,
485,negative,-0.16,negative,neutral/positive,,Info,You have resigned from your job.,,
487,negative,-0.14,neutral,neutral/positive,,Info,travel insurance.,,
491,negative,-0.12,neutral,neutral/positive,,Info,and people are affected in different ways.,,
497,negative,-0.11,neutral,neutral/positive,,Info,this is for people who require intensive support.,,
15,positive,0.81,neutral,positive,,Instruction,I hope I made that clear enough.,,
23,positive,0.71,neutral,positive,,Instruction,and you should be good to go.,,
30,positive,0.62,neutral,positive,,Instruction,I would highly appreciate it if you could give me some feedback on this interaction.,,
48,positive,0.39,neutral,positive,,Instruction,on the Security tab.,,
58,positive,0.31,neutral,positive,,Instruction,And finally.,,
59,positive,0.3,neutral,positive,,Instruction,and after that meeting you'll be able to access your funds.,,
61,positive,0.28,neutral,positive,,Instruction,Before you chat with them make sure you've got your reference details ready.,,
67,positive,0.22,neutral,positive,,Instruction,Launch REGEDIT.,,
70,positive,0.19,neutral,positive,,Instruction,launch the product.,,
81,positive,0.11,neutral,positive,,Instruction,go ahead and fill in your ID and password here.,,
86,neutral,0.08,neutral,positive,,Instruction,Select Standalone License Type.,,
90,neutral,0.04,neutral,positive,,Instruction,show number on the right hand side.,,
91,neutral,0.03,neutral,positive,,Instruction,but you are also welcome to go back to the previous step.,,
94,neutral,0.02,neutral,positive,,Instruction,Step one click BULK ADD.,,
95,neutral,0.02,neutral,positive,,Instruction,Or feel free to ask me another question.,,
96,neutral,0.02,neutral,positive,,Instruction,Let me know when you're ready for the next bit.,,
100,neutral,0.01,neutral,positive,,Instruction,Let me know when you want to continue.,,
103,neutral,0,neutral,positive,,Instruction,you should select the the Sign In option.,,
116,neutral,0,neutral,positive,,Instruction,try to Browse to the location of the file before continuing.,,
119,neutral,0,neutral,positive,,Instruction,the first thing you'll need to do to get an overdraft.,,
125,neutral,0,neutral,positive,,Instruction,selecting the links on the screen.,,
126,neutral,0,neutral,positive,,Instruction,see my note below for help.,,
127,neutral,0,neutral,positive,,Instruction,please talk to us today.,,
128,neutral,0,neutral,positive,,Instruction,please pop and see my colleague who is waiting outside.,,
129,neutral,0,neutral,positive,,Instruction,please delete the A D U T folder from the location specified below.,,
130,neutral,0,neutral,positive,,Instruction,please click Sign Out at the top and then sign in.,,
132,neutral,0,neutral,positive,,Instruction,or you can contact us to discuss the possibility of a reduced settlement offer.,,
135,neutral,0,neutral,positive,,Instruction,or switch to AutoCAD including specialized tool sets.,,
136,neutral,0,neutral,positive,,Instruction,or give our team a call on this number.,,
139,neutral,0,neutral,positive,,Instruction,or contact us through social media.,,
145,neutral,0,neutral,positive,,Instruction,oh wait.,,
146,neutral,0,neutral,positive,,Instruction,now select all the objects listed in the dialog box.,,
148,neutral,0,neutral,positive,,Instruction,lets have a general chat.,,
149,neutral,0,neutral,positive,,Instruction,let's get started with assigning users by product.,,
150,neutral,0,neutral,positive,,Instruction,let me check my files.,,
151,neutral,0,neutral,positive,,Instruction,it's important to talk to our mortgages team as soon as possible.,,
155,neutral,0,neutral,positive,,Instruction,it would be best for you to contact my more experienced colleagues on webchat.,,
160,neutral,0,neutral,positive,,Instruction,follow the tasks on the screen to complete the switch.,,
165,neutral,0,neutral,positive,,Instruction,contact a customer support representative at the number on the left of the screen.,,
166,neutral,0,neutral,positive,,Instruction,come back to me and I'll make sure to get you home.,,
183,neutral,0,neutral,positive,,Instruction,You'll need to make a deposit into your account and try again.,,
185,neutral,0,neutral,positive,,Instruction,You should now see the Previous Version Form on the right.,,
192,neutral,0,neutral,positive,,Instruction,You can find some general information on cascading licenses in this.,,
193,neutral,0,neutral,positive,,Instruction,You can find out more information about it here.,,
195,neutral,0,neutral,positive,,Instruction,You and your planner work together to make a plan that suits your needs.,,
229,neutral,0,neutral,positive,,Instruction,Visit a branch to ask about them anytime.,,
231,neutral,0,neutral,positive,,Instruction,To start the chat click on the box on the right show number on the right hand side.,,
232,neutral,0,neutral,positive,,Instruction,To see the next style.,,
233,neutral,0,neutral,positive,,Instruction,To register for the Send Money Overseas service please call us.,,
250,neutral,0,neutral,positive,,Instruction,Select the Autodesk product that's giving you trouble.,,
251,neutral,0,neutral,positive,,Instruction,Select play when you are ready to start.,,
252,neutral,0,neutral,positive,,Instruction,Select a circle for the first question.,,
253,neutral,0,neutral,positive,,Instruction,Please use the first six digits of your account number.,,
254,neutral,0,neutral,positive,,Instruction,Please try it out and then let me know if it works.,,
255,neutral,0,neutral,positive,,Instruction,Please note.,,
256,neutral,0,neutral,positive,,Instruction,Please give us a call on the number shown.,,
257,neutral,0,neutral,positive,,Instruction,Please give the team a call on this number and they'll be able to help you find out.,,
258,neutral,0,neutral,positive,,Instruction,Please call and talk to one of the team.,,
259,neutral,0,neutral,positive,,Instruction,Please ask a question from the options shown.,,
263,neutral,0,neutral,positive,,Instruction,Or if you prefer just call us and we'll sort it for you.,,
265,neutral,0,neutral,positive,,Instruction,Okay please provide details in the form so I can help you extend your license.,,
272,neutral,0,neutral,positive,,Instruction,Let's try something else.,,
273,neutral,0,neutral,positive,,Instruction,Let's talk budget and hotel features.,,
274,neutral,0,neutral,positive,,Instruction,Let's skip budget for now.,,
275,neutral,0,neutral,positive,,Instruction,Let's get checking in sorted so you can focus on your doctor's visit.,,
276,neutral,0,neutral,positive,,Instruction,Let's double check.,,
277,neutral,0,neutral,positive,,Instruction,Let me know when you are ready for me to play the clip or select the play button.,,
278,neutral,0,neutral,positive,,Instruction,Let me help you find the fastest and easiest way to activate.,,
279,neutral,0,neutral,positive,,Instruction,Let me create a customised quote for you.,,
281,neutral,0,neutral,positive,,Instruction,Just tell the driver your full address when you get there.,,
282,neutral,0,neutral,positive,,Instruction,Just let me know and I'll start my hotel hunting.,,
288,neutral,0,neutral,positive,,Instruction,Inform your users on what to do next to get started with their software.,,
289,neutral,0,neutral,positive,,Instruction,In the Settings menu.,,
299,neutral,0,neutral,positive,,Instruction,I'll hold onto the credit card information in case you change your mind.,,
301,neutral,0,neutral,positive,,Instruction,I would suggest you talk to Pierre or Stuart about our business strategy.,,
306,neutral,0,neutral,positive,,Instruction,I suggest you watch the video again and have another try.,,
307,neutral,0,neutral,positive,,Instruction,I suggest you listen to the audio again.,,
337,neutral,0,neutral,positive,,Instruction,Great to order a new debit card please call us on this number.,,
338,neutral,0,neutral,positive,,Instruction,Follow the blue line and you'll be at the ER shortly.,,
355,neutral,0,neutral,positive,,Instruction,Card reader screen is blank or won't turn on.,,
376,neutral,0,neutral,positive,,Instruction,Agree to the privacy statement if you want to proceed.,,
386,neutral,-0.07,neutral,positive,,Instruction,specify the version.,,
390,neutral,-0.06,neutral,positive,,Instruction,Click Bulk Add.,,
395,neutral,-0.04,neutral,positive,,Instruction,View existing.,,
398,neutral,-0.04,neutral,positive,,Instruction,Enter the payment amount.,,
408,neutral,0,neutral,positive,,Instruction,Imagine you are lying on the sand on a warm day.,,
436,negative,-0.5,neutral,positive,,Instruction,Just say Bill Payments.,,
438,negative,-0.48,neutral,positive,,Instruction,For help with Installation Error ten.,,
440,negative,-0.45,neutral,positive,,Instruction,and repeat until you find the corrupt object.,,
443,negative,-0.43,neutral,positive,,Instruction,Turn around and take the first right.,,
445,negative,-0.42,negative,positive,,Instruction,your product does not have a Serial Number.,,
456,negative,-0.34,neutral,positive,,Instruction,Click the Add button to display the Add Users window in the Users tab.,,
457,negative,-0.33,neutral,positive,,Instruction,If it's something else.,,
471,negative,-0.24,neutral,positive,,Instruction,When you see this screen.,,
473,negative,-0.23,neutral,positive,,Instruction,But feel free to ask me some more questions.,,
481,negative,-0.18,neutral,positive,,Instruction,You'll need to ask your recipient to provide it.,,
484,negative,-0.16,neutral,positive,,Instruction,click Manage License.,,
488,negative,-0.14,negative,positive,,Instruction,I get that these things are tricky but I do need a response.,,
489,negative,-0.12,neutral,positive,,Instruction,you can call our overdraft team on number ZERO ZERO ZERO ZERO ZERO ZERO ZERO.,,
492,negative,-0.12,neutral,positive,,Instruction,and click Change Password.,,
494,negative,-0.12,neutral,positive,,Instruction,Then click Download.,,
495,negative,-0.12,neutral,positive,,Instruction,Just click the Save Email button when you're done.,,
498,negative,-0.11,neutral,positive,,Instruction,just say HELP.,,
500,negative,-0.11,neutral,positive,,Instruction,I'll cancel your followup right now.,,
5,positive,0.92,positive,positive,,Introduction,Good Morning.,,
18,positive,0.76,positive,positive,,Introduction,I like to think that I'm a friendly computer program.,,
38,positive,0.54,neutral,positive,,Introduction,The people at the NDIS are always teaching me new things so I'm always learning.,,
50,positive,0.39,positive,positive,,Introduction,My current interest is finding the best credit card for people.,,
62,positive,0.27,neutral,positive,,Introduction,My goal is to get better and better at answering people's questions about the NDIS.,,
76,positive,0.16,neutral,positive,,Introduction,I'm always learning because the people at the NDIS teach me new things.,,
84,neutral,0.09,positive,positive,,Introduction,I would like to introduce you to Gavin.,,
102,neutral,0.01,neutral,positive,,Introduction,I'm here.,,
147,neutral,0,neutral,positive,,Introduction,my name is.,,
159,neutral,0,positive,positive,,Introduction,hello again.,,
181,neutral,0,neutral,positive,,Introduction,and I'm here to help you with your top questions about your bank accounts.,,
182,neutral,0,neutral,positive,,Introduction,and I'm here to help you with timelines and payments.,,
270,neutral,0,positive,positive,,Introduction,My name is Desi P.,,
297,neutral,0,neutral,positive,,Introduction,I'm designed to sift through thousands of credit card offers out there.,,
298,neutral,0,positive,positive,,Introduction,I'm a digital human.,,
311,neutral,0,neutral,positive,,Introduction,I don't have a favourite song.,,
312,neutral,0,neutral,positive,,Introduction,I can tell you have a web camera in your computer.,,
313,neutral,0,neutral,positive,,Introduction,I can respond to your voice.,,
320,neutral,0,neutral,positive,,Introduction,I can detect your emotions.,,
321,neutral,0,neutral,positive,,Introduction,I am here to bring technology to life.,,
332,neutral,0,positive,positive,,Introduction,Hello my name is Lia.,,
333,neutral,0,positive,positive,,Introduction,Hello and welcome to the Autodesk mini gallery.,,
334,neutral,0,positive,positive,,Introduction,Hello Udo.,,
393,neutral,-0.05,positive,positive,,Introduction,I am Cora.,,
394,neutral,-0.04,positive,positive,,Introduction,i'm basically a Labyrinth girl.,,
400,neutral,-0.03,neutral,positive,,Introduction,and my abilities to converse with you will continue to get better over time.,,
406,neutral,-0.01,positive,positive,,Introduction,Hi everyone.,,
427,negative,-0.57,neutral,positive,,Introduction,I don't eat but people tell me that chocolate is yummy.,,
437,negative,-0.49,neutral,positive,,Introduction,I'm as big as your screen because I'm a computer program.,,
442,negative,-0.44,neutral,positive,,Introduction,I'm younger than you.,,
496,negative,-0.12,neutral,positive,,Introduction,I'm a computer program.,,
384,neutral,-0.08,neutral,negative,,Negative Response,I had a hard time understanding you.,,
409,negative,-0.93,negative,negative,,Negative Response,I don't know what went wrong.,,
413,negative,-0.79,negative,negative,,Negative Response,There's no need for bad language.,,
414,negative,-0.78,negative,negative,,Negative Response,I don't mean to be confusing.,,
415,negative,-0.73,negative,negative,,Negative Response,I dont understand.,,
417,negative,-0.69,negative,negative,,Negative Response,I think I missed that.,,
421,negative,-0.62,negative,negative,,Negative Response,feeling slightly negative.,,
424,negative,-0.59,negative,negative,,Negative Response,WRONG PIN.,,
430,negative,-0.53,negative,negative,,Negative Response,feeling really confused.,,
444,negative,-0.43,neutral,negative,,Negative Response,I might be confusing you.,,
461,negative,-0.31,negative,negative,,Negative Response,I am not sure I heard you properly?,,
464,negative,-0.29,negative,negative,,Negative Response,I didn't quite grasp what you just said.,,
465,negative,-0.28,negative,negative,,Negative Response,I missed what you said.,,
468,negative,-0.26,negative,negative,,Negative Response,I didn't quite get that.,,
470,negative,-0.25,negative,negative,,Negative Response,I'm not getting that.,,
499,negative,-0.11,negative,negative,,Negative Response,I'm still not sure what you mean.,,
1,positive,0.95,positive,positive,,Positive Response,I'm glad I was able to help you figure out your license is on a maintenance plan.,,
2,positive,0.93,positive,positive,,Positive Response,That's a great choice.,,
3,positive,0.93,positive,positive,,Positive Response,I'd love to.,,
4,positive,0.92,positive,positive,,Positive Response,I like it when people agree with me.,,
6,positive,0.91,positive,positive,,Positive Response,I'm glad you approve.,,
7,positive,0.91,positive,positive,,Positive Response,I love it here.,,
8,positive,0.91,neutral,positive,,Positive Response,I look forward to seeing what you come up with.,,
9,positive,0.9,positive,positive,,Positive Response,Glad I could help you.,,
10,positive,0.86,positive,positive,,Positive Response,he's great.,,
11,positive,0.85,positive,positive,,Positive Response,You're so sweet.,,
